(171) 3233178229 Hz: S11=-10952122158442433788340468180190232576.000000+-63636830863022054718610610905424068608.000000j, S21=-0.000000+0.000000j
(172) 3367501260 Hz: S11=0.000000+226083493525767868907520.000000j, S21=-0.000011+3001225.250000j
(173) 3493310459 Hz: S11=668515861721251546183048217231360.000000+0.000003j, S21=0.000000+23379.994141j
(174) 3635944578 Hz: S11=-0.002012+-0.000000j, S21=-0.000000+14620380140044342776998207160320.000000j
(175) 3761742524 Hz: S11=-553025856.000000+14469350503178171251163136.000000j, S21=0.000000+0.000000j
(176) 3904333729 Hz: S11=0.000031+11.968760j, S21=-0.000000+222654082537569806379384832.000000j
(177) 4030181227 Hz: S11=-608105083978909745152.000000+-822486892544.000000j, S21=-2.893852+2.871762j
(178) 4172771895 Hz: S11=-32.966709+60688835350069102557371750678528.000000j, S21=-938104075728992647390777210568704.000000+-0.000000j
(179) 3680372 Hz: S11=8439.802734+-0.000000j, S21=-188669.031250+11828.177734j
(180) 137922269 Hz: S11=0.000000+-2.992191j, S21=0.000000+217455389273260415778816.000000j
(181) 272044546 Hz: S11=-0.515164+-12851360768.000000j, S21=0.000000+-0.000000j
(182) 406371473 Hz: S11=42799815961269794962281779832029184.000000+3212840192.000000j, S21=0.000000+-0.000000j
(183) 540585002 Hz: S11=-138298976.000000+-0.000000j, S21=-0.000000+-3644348591169076351858294915072.000000j
(184) 674677945 Hz: S11=-41799906181654430597941320220672.000000+948263052344829727458933604352.000000j, S21=-203803462729728.000000+12948786305302528.000000j
(185) 808981506 Hz: S11=-159460112133571162511769600.000000+3064.003662j, S21=0.000000+-0.000000j
(186) 943199924 Hz: S11=38019713509703548928.000000+0.000000j, S21=240443370617864725544314238446600192.000000+-754367.250000j
(187) 1085761995 Hz: S11=-40824924357538843047434911744.000000+55196178605703954432.000000j, S21=-229723163226118666786346893312.000000+-3492618900881816382603264.000000j
(188) 1219980838 Hz: S11=0.000000+0.000000j, S21=-0.000000+805849547145216.000000j
(189) 1354241894 Hz: S11=-0.000000+0.000011j, S21=0.000000+0.000000j
(190) 1488389907 Hz: S11=0.000126+-0.000183j, S21=875861064337330593071104.000000+-0.180494j
(191) 1614252361 Hz: S11=0.000002+3704152843369896302239285248.000000j, S21=0.000000+202901402157056.000000j
(192) 1748511545 Hz: S11=-0.000000+-62145372350230918160269772291309568.000000j, S21=58758891664526473167320714838016.000000+-0.000000j
(193) 1882682538 Hz: S11=-527.771362+-0.000000j, S21=-3584571603551145249373945856.000000+-829217035052384256.000000j
(194) 2025278240 Hz: S11=-0.000000+3617336761103414357655552.000000j, S21=-962911040428838709536425057825325056.000000+-3743845425053978259229844755709952.000000j
(195) 2159533139 Hz: S11=-0.000000+-50200628.000000j, S21=0.000000+-0.000000j
(196) 2285380208 Hz: S11=-0.000000+0.002922j, S21=0.000000+-12642505719808.000000j
(197) 2427989202 Hz: S11=-8855894016.000000+-0.000000j, S21=-12424452096.000000+28928042602625690966858468950016.000000j
(198) 2553840585 Hz: S11=594331801984434176.000000+-15909208983406113907882054223059222528.000000j, S21=0.000000+50631377158144.000000j
(199) 2696420342 Hz: S11=-0.008055+-0.000000j, S21=0.000000+0.000000j
(200) 2822204508 Hz: S11=-0.000000+766.000793j, S21=0.000000+-0.000000j
(201) 2964850494 Hz: S11=-9972381327380669228122112.000000+3289948356608.000000j, S21=48455924.000000+0.000000j
(202) 1761869066 Hz: S11=-784385.000000+0.000000j, S21=-0.000000+-2.884749j
(203) 1912864342 Hz: S11=-822487220224.000000+-213818384671087525888.000000j, S21=0.000000+3379309475919680241664.000000j
(204) 1931492968 Hz: S11=0.000000+0.000000j, S21=0.000000+0.000001j
(205) 808464432 Hz: S11=0.000000+0.000000j, S21=0.000000+0.000001j
(206) 8849933 Hz: S11=105553963515904.000000+0.000000j, S21=-0.000000+-0.000000j
(207) 1270888345 Hz: S11=-0.000000+0.000000j, S21=-3288096102341708611584.000000+0.000000j
(208) 639907739 Hz: S11=-32296920785286622497151647744.000000+0.000000j, S21=62334647278068958115135488.000000+0.000000j
(209) 239155218 Hz: S11=0.001653+0.000000j, S21=0.000000+7261983350347203403055104.000000j
(210) 2208183324 Hz: S11=-0.000000+0.000000j, S21=-0.000000+170103792.000000j
(211) 583547160 Hz: S11=-498680594432.000000+0.000000j, S21=-1452393287640940544.000000+0.000000j
(212) 210319245 Hz: S11=0.000000+0.000000j, S21=-0.000000+0.000000j
(213) 1352677495 Hz: S11=150339423897602690922840064.000000+0.000000j, S21=-79118112353738031104.000000+-0.000000j
(214) 4143986823 Hz: S11=-0.000008+0.000000j, S21=0.000000+-0.000000j
(215) 1603877138 Hz: S11=0.000000+0.000000j, S21=-5364618112003352562796454421200896.000000+-3624930132713537536.000000j
(216) 3821025549 Hz: S11=2419500288.000000+0.000000j, S21=-0.000000+538877636952264395456512.000000j
(217) 3152033917 Hz: S11=-0.000000+0.000000j, S21=11.390503+-0.000000j
(218) 3093575544 Hz: S11=-756615401922160941334528.000000+0.000000j, S21=-0.000000+-27422932.000000j
(219) 2611558455 Hz: S11=0.000000+0.000000j, S21=-0.111938+0.000000j
(220) 3174184986 Hz: S11=234228790876932444825470142281139879936.000000+0.000000j, S21=-0.000006+46153653019222061486080686372683776.000000j
(221) 3100686309 Hz: S11=-12072476.000000+0.000000j, S21=-0.000001+165593726976.000000j
(222) 2972596261 Hz: S11=0.000000+0.000000j, S21=-0.000000+-0.000006j
(223) 3376035906 Hz: S11=3693393047207289028608.000000+0.000000j, S21=0.000000+746500126609791442609120091308032.000000j
(224) 1103902738 Hz: S11=-0.000000+0.000000j, S21=-0.000000+-0.001642j
(225) 537081829 Hz: S11=-1125260954275968391330210082392637440.000000+0.000000j, S21=-0.000000+0.000000j
(226) 3276945488 Hz: S11=57399.578125+0.000000j, S21=0.000000+5479564.500000j
(227) 2149988426 Hz: S11=-0.000000+0.000000j, S21=-0.000000+-0.000000j
(228) 3990107638 Hz: S11=-17345535899491893248.000000+0.000000j, S21=-0.000000+0.000000j
(229) 523909094 Hz: S11=0.000000+0.000000j, S21=-17766760701318867032817868472320.000000+241216543177591226368.000000j
(230) 1499215947 Hz: S11=5201121514104873461820114736250880.000000+0.000000j, S21=0.000000+-54485435023360.000000j
(231) 686373004 Hz: S11=-272.435547+0.000000j, S21=5425583520566729821757898752.000000+94137187683008512.000000j
(232) 611760055 Hz: S11=0.000000+0.000000j, S21=716883566298509361310334976.000000+-141988930156232704.000000j
(233) 1331050705 Hz: S11=85972944479584256.000000+0.000000j, S21=37.562012+-0.000000j
(234) 1908062150 Hz: S11=-0.000000+0.000000j, S21=-36594983740399806699156154972322660352.000000+64140071625737077778284544.000000j
(235) 1343633187 Hz: S11=-26655095229987081299584748617728.000000+0.000000j, S21=25273810268413161830875136.000000+85135254722277439176704.000000j
(236) 1225635261 Hz: S11=1.376709+0.000000j, S21=-447209275392.000000+0.000002j
(237) 3289528432 Hz: S11=-0.000000+0.000000j, S21=-3310342011003473875697664.000000+0.000000j
(238) 3277273194 Hz: S11=-422696923955200.000000+0.000000j, S21=-0.000000+0.000000j
(239) 3786029038 Hz: S11=0.000000+0.000000j, S21=-4093736876907692032.000000+0.000000j
(240) 1071724699 Hz: S11=128880493201435819567455666176.000000+0.000000j, S21=0.000000+36382354604655012183289118240800768.000000j
(241) 1652045536 Hz: S11=-0.006599+0.000000j, S21=2254034021312888832.000000+-0.000000j
(242) 1660696671 Hz: S11=0.000000+0.000000j, S21=14725191631527941941149096011657904128.000000+151119798699294720.000000j
(243) 272119914 Hz: S11=1994739417088.000000+0.000000j, S21=-18644736.000000+-13418901700261969920.000000j
(244) 308164232 Hz: S11=-0.000000+0.000000j, S21=47934635560886211813139975799318773760.000000+-2537551001735355070970501206638592.000000j
(245) 1605416704 Hz: S11=-600142571664787368107311104.000000+0.000000j, S21=-215294.000000+-23097712.000000j
(246) 465189004 Hz: S11=0.000031+0.000000j, S21=-2236019622803406848.000000+0.000000j
(247) 3845666892 Hz: S11=-0.000000+0.000000j, S21=0.000000+0.018460j
(248) 2041067528 Hz: S11=-9711740928.000000+0.000000j, S21=-0.000000+-0.006232j
(249) 931674065 Hz: S11=0.000000+0.000000j, S21=-30011994513866752.000000+-1705583827267901368205368623104.000000j
(250) 2669688999 Hz: S11=3035832841908464369270784.000000+0.000000j, S21=26813028583377451243107892024311808.000000+-431430937186444196708352.000000j
(251) 763115452 Hz: S11=-0.000000+0.000000j, S21=0.000000+0.000001j
(252) 771176525 Hz: S11=0.000000+0.000000j, S21=-0.000000+-2488004244499948213962729848832.000000j
(253) 3415259138 Hz: S11=48422276.000000+0.000000j, S21=0.000852+-720251200.000000j
(254) 1866217566 Hz: S11=-0.000000+0.000000j, S21=-0.000000+-89267573646458436703406260224.000000j
(255) 1550923412 Hz: S11=-14810219104896976683008.000000+0.000000j, S21=0.000000+0.000000j
(256) 3180935152 Hz: S11=0.000000+0.000000j, S21=-0.005379+-0.000000j
(257) 332806257 Hz: S11=4490689013175909273454714509437435904.000000+0.000000j, S21=0.000485+-17460912759332942411340741043290112.000000j
(258) 3368892528 Hz: S11=-229602.000000+0.000000j, S21=112892920809597849042944.000000+100.360939j
(259) 2564569299 Hz: S11=0.000000+0.000000j, S21=-0.000000+-24092.462891j
(260) 4135663667 Hz: S11=69238441826263760896.000000+0.000000j, S21=1574896.000000+-283153758395650580557070336.000000j
(261) 1668036684 Hz: S11=-0.000000+0.000000j, S21=166306675239723991040.000000+0.000025j
(262) 1050818665 Hz: S11=-20804518242860515267167606322233344.000000+0.000000j, S21=0.000021+387802320961798144.000000j
(263) 414627649 Hz: S11=1089.753662+0.000000j, S21=122251442916908657880858624.000000+0.000355j
(264) 1222522965 Hz: S11=-0.000000+0.000000j, S21=-8872020897175699456.000000+2964113805772762761440601442495758336.000000j
(265) 1785739151 Hz: S11=-342745915003502592.000000+0.000000j, S21=0.000000+-0.000000j
(266) 3693885363 Hz: S11=0.000000+0.000000j, S21=-282004087827972369115759588474355712.000000+137610046277374967808.000000j
(267) 1532278744 Hz: S11=106621464117482699906079531204608.000000+0.000000j, S21=-0.000001+15845848851801387206443008.000000j
(268) 3691001953 Hz: S11=-5.522406+0.000000j, S21=-0.000000+-0.000000j
(269) 3056908191 Hz: S11=0.000000+0.000000j, S21=57.312012+0.000000j
(270) 2357606466 Hz: S11=1690758436356096.000000+0.000000j, S21=15725555945819644475931099136.000000+-0.000000j
(271) 2499491741 Hz: S11=-0.000000+0.000000j, S21=389327306651973637939075743744.000000+0.002140j
(272) 1598830651 Hz: S11=-515515210376939808937876652032.000000+0.000000j, S21=-52.062012+0.000000j
(273) 2733717477 Hz: S11=0.026394+0.000000j, S21=-174385188296168823628759040.000000+-34252380962816.000000j
(274) 3022010536 Hz: S11=-0.000000+0.000000j, S21=28483954671616.000000+-0.000000j
(275) 2983146814 Hz: S11=-7978991747072.000000+0.000000j, S21=608142698953490773074028395747082240.000000+0.000000j
(276) 3126376222 Hz: S11=0.000000+0.000000j, S21=0.000076+180558294417408.000000j
(277) 2327066589 Hz: S11=2405441260112276921790758912.000000+0.000000j, S21=-7.914001+-934794.750000j
(278) 1831745575 Hz: S11=-0.000122+0.000000j, S21=46273100566155066972010216973968343040.000000+-1954614704309636279055070296818057216.000000j
(279) 2359507020 Hz: S11=0.000000+0.000000j, S21=102596529499406336.000000+0.000000j
(280) 2438346746 Hz: S11=38846636032.000000+0.000000j, S21=-50223580094482350080.000000+-0.000000j
(281) 273955042 Hz: S11=-0.000000+0.000000j, S21=-9715276057059209061141145714688.000000+0.000000j
(282) 2564765901 Hz: S11=-12105815301873950676484096.000000+0.000000j, S21=13668991117557760.000000+14.201203j
(283) 555890495 Hz: S11=0.000001+0.000000j, S21=93329537501764104304919874371584.000000+13.794220j
(284) 3006674873 Hz: S11=-0.000000+0.000000j, S21=-0.000000+-0.000000j
(285) 518273162 Hz: S11=-193165552.000000+0.000000j, S21=0.000000+-139582594475518198345641876258816.000000j
(286) 2432087714 Hz: S11=0.000000+0.000000j, S21=-0.000000+217668747264.000000j
